x,u,b
0.0,0.0,0.0
0.09090909090909091,0.008264462809917179,0.008264462809917356
0.18181818181818182,0.03305785123966917,0.03305785123966942
0.2727272727272727,0.07438016528925619,0.07438016528925619
0.36363636363636365,0.1322314049586777,0.1322314049586777
0.4545454545454546,0.29891108217777457,0.20661157024793392
0.5454545454545454,0.38963907928027364,0.29752066115702475
0.6363636363636364,0.4049586776859504,0.4049586776859504
0.7272727272727273,0.5289256198347108,0.5289256198347108
0.8181818181818182,0.6694214876033059,0.6694214876033059
0.9090909090909092,0.8264462809917357,0.8264462809917357
1.0,1.0,1.0
